date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,204.87,221.0,221.68,204.0,22617,488105904.0,8.77,9.66,19.47,5.19,215.56000000000003
2021-01-05,221.75,233.0,236.96,218.08,28806,664447296.0,8.54,5.43,12.0,6.61,229.34666666666666
2021-01-06,235.0,256.3,256.3,233.55,30332,744824208.0,9.76,10.0,23.3,6.96,248.7166666666667
2021-01-07,252.93,246.0,252.93,235.36,29126,706090736.0,6.86,-4.02,-10.3,6.68,244.76333333333332
2021-01-08,246.06,253.4,262.79,246.06,18204,465541232.0,6.8,3.01,7.4,4.18,254.08333333333334
2021-01-11,253.0,255.5,265.0,242.41,20110,516079520.0,8.91,0.83,2.1,4.61,254.3033333333333
2021-01-12,256.0,281.05,281.05,256.0,28844,793660352.0,9.8,10.0,25.55,6.62,272.7
2021-01-13,282.0,287.8,293.8,270.01,27996,788766256.0,8.46,2.4,6.75,6.42,283.86999999999995
2021-01-14,289.99,260.0,290.0,260.0,24335,655968752.0,10.42,-9.66,-27.8,5.58,270.0
2021-01-15,258.0,246.04,259.21,239.2,23722,588111008.0,7.7,-5.37,-13.96,5.44,248.14999999999998
2021-01-18,246.04,270.64,270.64,245.0,21852,575142384.0,10.42,10.0,24.6,5.01,262.0933333333333
2021-01-19,274.18,274.57,283.0,267.99,19957,550246864.0,5.55,1.45,3.93,4.58,275.18666666666667
2021-01-20,275.01,290.18,292.8,260.06,25667,715716544.0,11.92,5.69,15.61,5.89,281.0133333333333
2021-01-21,293.95,308.69,309.0,290.36,23705,712008800.0,6.42,6.38,18.51,5.44,302.68333333333334
2021-01-22,303.9,315.0,318.1,296.11,19267,591977008.0,7.12,2.04,6.31,4.42,309.7366666666667
2021-01-25,315.0,313.13,322.15,300.0,20326,629417232.0,7.03,-0.59,-1.87,4.66,311.76
2021-01-26,304.08,305.1,312.16,295.11,11396,346376288.0,5.45,-2.56,-8.03,2.61,304.12333333333333
2021-01-27,304.5,320.59,325.99,303.0,17347,547659472.0,7.54,5.08,15.49,3.98,316.52666666666664
2021-01-28,310.0,313.8,325.82,307.59,13763,436469504.0,5.69,-2.12,-6.79,3.16,315.7366666666667
2021-01-29,316.0,324.0,341.88,316.0,23037,759651824.0,8.25,3.25,10.2,5.28,327.29333333333335
2021-02-01,325.0,331.98,338.98,314.21,16505,541836064.0,7.65,2.46,7.98,3.79,328.39000000000004
2021-02-02,333.0,320.71,335.43,318.98,17175,558351328.0,4.96,-3.39,-11.27,3.94,325.04
2021-02-03,319.0,318.19,325.0,306.07,17403,548095248.0,5.9,-0.79,-2.52,3.99,316.42
2021-02-04,314.0,308.3,321.0,303.5,13980,434430304.0,5.5,-3.11,-9.89,3.21,310.93333333333334
2021-02-05,308.39,310.0,329.9,308.0,17423,553418384.0,7.1,0.55,1.7,4.0,315.96666666666664
2021-02-08,308.07,315.0,325.0,300.13,15241,478673296.0,8.02,1.61,5.0,3.5,313.37666666666667
2021-02-09,320.18,318.12,324.98,316.0,11858,379117536.0,2.85,0.99,3.12,2.72,319.7
2021-02-10,318.18,337.53,344.0,313.0,19930,658163008.0,9.74,6.1,19.41,4.57,331.51
2021-02-18,343.99,307.2,344.7,305.0,26694,842525584.0,11.76,-8.99,-30.33,6.12,318.9666666666667
2021-02-19,305.0,303.78,314.0,290.9,15443,466574320.0,7.52,-1.11,-3.42,3.54,302.8933333333333
2021-02-22,303.88,273.41,306.0,273.4,24561,693908480.0,10.73,-10.0,-30.37,5.63,284.27
2021-02-23,264.89,262.96,278.0,251.21,19931,528920032.0,9.8,-3.82,-10.45,4.57,264.0566666666667
2021-02-24,265.0,249.64,265.0,245.06,18400,464039712.0,7.58,-5.07,-13.32,4.22,253.23333333333335
2021-02-25,251.35,254.0,265.19,251.35,15758,406852528.0,5.54,1.75,4.36,3.61,256.84666666666664
2021-02-26,249.0,249.59,258.0,243.24,16747,417554672.0,5.81,-1.74,-4.41,3.84,250.27666666666667
2021-03-01,253.01,248.12,255.66,242.18,17858,441605888.0,5.4,-0.59,-1.47,4.1,248.65333333333334
2021-03-02,253.0,245.36,253.0,242.3,11257,277747856.0,4.31,-1.11,-2.76,2.58,246.88666666666668
2021-03-03,244.5,243.18,245.88,236.98,12531,301801216.0,3.63,-0.89,-2.18,2.87,242.01333333333332
2021-03-04,238.73,225.0,238.99,222.24,14903,342086192.0,6.89,-7.48,-18.18,3.42,228.74333333333334
2021-03-05,228.78,236.2,242.36,225.09,16603,390247728.0,7.68,4.98,11.2,3.81,234.55000000000004
2021-03-08,234.9,217.32,235.8,214.28,20446,460422352.0,9.11,-7.99,-18.88,4.69,222.4666666666667
2021-03-09,217.33,204.59,221.0,202.71,14987,314973456.0,8.42,-5.86,-12.73,3.44,209.43333333333337
2021-03-10,210.19,211.0,214.5,208.3,11989,254019836.0,3.03,3.13,6.41,2.75,211.26666666666665
2021-03-11,213.0,223.01,226.39,211.11,12901,284595664.0,7.24,5.69,12.01,2.96,220.17
2021-03-12,222.96,230.8,230.8,219.0,14846,336515760.0,5.29,3.49,7.79,3.4,226.86666666666667
2021-03-15,227.62,217.7,227.62,213.55,16255,355571744.0,6.1,-5.68,-13.1,3.73,219.62333333333333
2021-03-16,219.49,230.71,239.47,217.51,13518,309341184.0,10.09,5.98,13.01,3.1,229.23000000000002
2021-03-17,230.78,236.0,240.0,226.0,10257,241205130.0,6.07,2.29,5.29,2.35,234.0
2021-03-18,235.25,237.04,241.0,234.0,8460,201170225.0,2.97,0.44,1.04,1.94,237.34666666666666
2021-03-19,231.0,238.34,238.34,226.39,13168,308383024.0,5.04,0.55,1.3,3.02,234.35666666666668
2021-03-22,236.4,232.0,236.68,230.44,8201,191486568.0,2.62,-2.66,-6.34,1.88,233.04
2021-03-23,233.0,239.18,243.68,233.0,10131,241191066.0,4.6,3.09,7.18,2.32,238.62
2021-03-24,236.1,248.5,252.45,235.34,12875,319421152.0,7.15,3.9,9.32,2.95,245.42999999999998
2021-03-25,245.0,253.11,255.67,241.3,10303,256902045.0,5.78,1.86,4.61,2.36,250.02666666666667
2021-03-26,248.49,248.85,254.97,238.0,12864,318046352.0,6.7,-1.68,-4.26,2.95,247.27333333333334
2021-03-29,248.85,247.1,251.68,243.51,8134,201529503.0,3.28,-0.7,-1.75,1.87,247.42999999999998
2021-03-30,248.06,249.38,253.95,247.12,6268,157213147.0,2.76,0.92,2.28,1.44,250.15
2021-03-31,248.0,242.6,250.49,240.0,11304,276123248.0,4.21,-2.72,-6.78,2.59,244.36333333333334
2021-04-01,245.0,250.69,251.77,240.71,8386,207111451.0,4.56,3.33,8.09,1.92,247.72333333333336
2021-04-02,252.92,261.1,262.0,250.69,8684,224753760.0,4.51,4.15,10.41,1.99,257.93
