date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,4.87,4.85,4.92,4.76,1759469,851978336.0,3.23,-2.02,-0.1,2.09,4.843333333333333
2021-01-05,4.81,4.8,4.9,4.77,1328948,639132368.0,2.68,-1.03,-0.05,1.57,4.823333333333333
2021-01-06,4.77,4.69,4.79,4.66,1325455,624436688.0,2.71,-2.29,-0.11,1.57,4.713333333333334
2021-01-07,4.71,4.6,4.88,4.55,1521354,716105616.0,7.04,-1.92,-0.09,1.8,4.676666666666667
2021-01-08,4.57,4.74,4.78,4.46,1542079,717680416.0,6.96,3.04,0.14,1.83,4.66
2021-01-11,4.75,4.52,4.79,4.5,1289585,596379664.0,6.12,-4.64,-0.22,1.53,4.603333333333333
2021-01-12,4.52,4.47,4.57,4.42,1007835,450764240.0,3.32,-1.11,-0.05,1.19,4.486666666666667
2021-01-13,4.43,4.4,4.53,4.38,982403,436153440.0,3.36,-1.57,-0.07,1.16,4.4366666666666665
2021-01-14,4.36,4.44,4.52,4.25,1434302,627302112.0,6.14,0.91,0.04,1.7,4.403333333333333
2021-01-15,4.4,4.36,4.48,4.35,920358,404762992.0,2.93,-1.8,-0.08,1.09,4.396666666666667
2021-01-18,4.4,4.53,4.64,4.37,1403283,632532272.0,6.19,3.9,0.17,1.66,4.513333333333333
2021-01-19,4.49,4.8,4.93,4.48,2879920,1354190512.0,9.93,5.96,0.27,3.41,4.736666666666667
2021-01-20,4.68,4.61,4.74,4.55,2180568,1007422288.0,3.96,-3.96,-0.19,2.58,4.633333333333333
2021-01-21,4.55,4.65,4.73,4.48,1839590,847173744.0,5.42,0.87,0.04,2.18,4.62
2021-01-22,4.59,4.52,4.67,4.51,1169384,534885088.0,3.44,-2.8,-0.13,1.39,4.566666666666666
2021-01-25,4.48,4.39,4.5,4.38,933031,412434512.0,2.65,-2.88,-0.13,1.11,4.423333333333333
2021-01-26,4.39,4.41,4.5,4.34,764115,338560944.0,3.64,0.46,0.02,0.91,4.416666666666667
2021-01-27,4.58,4.85,4.85,4.52,3135099,1499192112.0,7.48,9.98,0.44,3.72,4.739999999999999
2021-01-28,5.0,5.34,5.34,4.8,5763852,2934823872.0,11.13,10.1,0.49,6.83,5.16
2021-01-29,5.44,5.87,5.87,5.35,6986792,4005909104.0,9.74,9.93,0.53,8.28,5.696666666666666
2021-02-01,5.9,5.7,6.28,5.4,6877572,3990069888.0,14.99,-2.9,-0.17,8.15,5.793333333333333
2021-02-02,5.57,6.27,6.27,5.57,4046771,2443254480.0,12.28,10.0,0.57,4.8,6.036666666666666
2021-02-03,6.3,6.33,6.83,6.0,7328250,4689762048.0,13.24,0.96,0.06,8.68,6.386666666666667
2021-02-04,6.34,5.94,6.45,5.78,4791924,2904622768.0,10.58,-6.16,-0.39,5.68,6.0566666666666675
