date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,34.24,34.75,35.16,33.86,305411,1062971968.0,3.8,1.52,0.52,2.35,34.589999999999996
2021-01-05,34.28,34.77,35.92,34.28,357606,1258566384.0,4.72,0.06,0.02,2.75,34.99
2021-01-06,34.9,34.61,36.0,34.5,324809,1144233120.0,4.31,-0.46,-0.16,2.49,35.03666666666667
2021-01-07,34.28,33.93,34.6,33.33,314523,1066754272.0,3.67,-1.96,-0.68,2.42,33.95333333333334
2021-01-08,33.86,35.9,36.1,33.84,492741,1749961360.0,6.66,5.81,1.97,3.78,35.28
2021-01-11,36.0,35.6,36.62,35.3,395278,1422290736.0,3.68,-0.84,-0.3,3.04,35.839999999999996
2021-01-12,35.6,35.8,35.87,34.8,271198,957097968.0,3.01,0.56,0.2,2.08,35.489999999999995
2021-01-13,35.5,36.46,36.72,34.6,518469,1842280256.0,5.92,1.84,0.66,3.98,35.92666666666667
2021-01-14,36.4,36.59,37.13,35.8,450409,1647516624.0,3.65,0.36,0.13,3.46,36.50666666666667
2021-01-15,36.72,35.01,36.85,35.01,327657,1169658176.0,5.03,-4.32,-1.58,2.52,35.623333333333335
2021-01-18,34.97,36.15,36.17,34.7,285711,1020132768.0,4.2,3.26,1.14,2.19,35.67333333333334
2021-01-19,36.04,35.23,36.48,35.18,280773,1002363232.0,3.6,-2.54,-0.92,2.16,35.629999999999995
2021-01-20,35.27,35.04,35.41,34.76,159399,558854944.0,1.85,-0.54,-0.19,1.22,35.06999999999999
2021-01-21,35.13,35.41,35.8,34.89,209843,742665552.0,2.6,1.06,0.37,1.61,35.36666666666667
2021-01-22,35.3,33.98,35.3,33.98,348036,1194442768.0,3.73,-4.04,-1.43,2.67,34.419999999999995
2021-01-25,33.69,33.06,33.69,32.73,262626,870238304.0,2.83,-2.71,-0.92,2.02,33.16
2021-01-26,33.06,32.48,33.39,32.39,184845,604673136.0,3.02,-1.75,-0.58,1.42,32.75333333333333
2021-01-27,32.5,32.44,32.97,32.13,180392,586641872.0,2.59,-0.12,-0.04,1.39,32.51333333333333
2021-01-28,32.13,30.6,32.38,30.43,377240,1177856512.0,6.01,-5.67,-1.84,2.9,31.136666666666667
2021-01-29,30.9,29.63,30.97,29.27,295378,880824464.0,5.56,-3.17,-0.97,2.27,29.956666666666663
2021-02-01,29.9,29.83,30.56,29.64,181570,545542976.0,3.1,0.67,0.2,1.39,30.01
2021-02-02,30.0,30.74,31.01,29.3,227627,691992000.0,5.73,3.05,0.91,1.75,30.349999999999998
