date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,58.0,56.49,58.0,56.16,252987,1430616752.0,3.17,-2.55,-1.48,1.21,56.88333333333333
2021-01-05,56.05,54.9,56.05,52.68,396359,2146316656.0,5.97,-2.81,-1.59,1.9,54.54333333333333
2021-01-06,54.86,55.16,55.7,54.16,202316,1111503680.0,2.81,0.47,0.26,0.97,55.00666666666666
2021-01-07,55.17,55.41,55.94,54.25,193003,1065082320.0,3.06,0.45,0.25,0.93,55.199999999999996
2021-01-08,55.41,55.09,55.88,54.6,143100,790726336.0,2.31,-0.58,-0.32,0.69,55.19
2021-01-11,55.06,54.42,55.26,53.88,184039,1002559184.0,2.5,-1.22,-0.67,0.88,54.52
2021-01-12,54.27,56.61,56.66,53.05,277201,1526619040.0,6.63,4.02,2.19,1.33,55.44
2021-01-13,56.61,55.02,57.07,54.55,258677,1433005776.0,4.45,-2.81,-1.59,1.24,55.546666666666674
2021-01-14,54.88,54.95,55.95,54.27,155122,851914816.0,3.05,-0.13,-0.07,0.74,55.05666666666667
2021-01-15,55.0,55.92,56.95,54.79,281153,1578637440.0,3.93,1.77,0.97,1.35,55.88666666666668
2021-01-18,55.9,55.35,56.15,54.9,166562,921951792.0,2.24,-1.02,-0.57,0.8,55.46666666666667
2021-01-19,55.69,56.8,57.56,55.36,303895,1721991520.0,3.97,2.62,1.45,1.46,56.57333333333333
2021-01-20,56.95,55.25,57.14,55.16,203132,1133836752.0,3.49,-2.73,-1.55,0.97,55.85
2021-01-21,55.31,54.8,55.45,54.1,178146,974344768.0,2.44,-0.81,-0.45,0.85,54.78333333333334
2021-01-22,54.66,53.0,54.66,53.0,204413,1095451120.0,3.03,-3.28,-1.8,0.98,53.553333333333335
2021-01-25,53.02,53.2,53.3,52.12,175362,923092368.0,2.23,0.38,0.2,0.84,52.873333333333335
2021-01-26,53.2,50.73,53.2,50.6,193066,996710304.0,4.89,-4.64,-2.47,0.93,51.51
2021-01-27,50.62,50.83,51.49,50.6,106624,543489232.0,1.75,0.2,0.1,0.51,50.973333333333336
2021-01-28,50.22,49.79,50.59,49.5,122674,611678080.0,2.14,-2.05,-1.04,0.59,49.96
2021-01-29,49.9,48.33,50.05,47.85,180011,881661856.0,4.42,-2.93,-1.46,0.86,48.74333333333334
2021-02-01,48.5,48.93,49.12,48.16,176936,860321984.0,1.99,1.24,0.6,0.85,48.73666666666667
2021-02-02,48.85,48.46,48.97,47.96,140073,677819616.0,2.06,-0.96,-0.47,0.67,48.46333333333334
2021-02-03,48.0,47.64,48.59,47.1,182954,880461552.0,3.07,-1.69,-0.82,0.88,47.776666666666664
2021-02-04,48.16,47.94,48.6,47.03,214338,1026875184.0,3.3,0.63,0.3,1.03,47.85666666666666
2021-02-05,47.7,48.66,49.31,47.15,206358,997795904.0,4.51,1.5,0.72,0.99,48.373333333333335
2021-02-08,48.45,47.2,48.98,47.13,197274,942262800.0,3.8,-3.0,-1.46,0.95,47.77
2021-02-09,47.38,47.8,47.97,45.96,161335,757327760.0,4.26,1.27,0.6,0.77,47.24333333333334
2021-02-10,47.5,49.02,49.88,47.5,180199,883787968.0,4.98,2.55,1.22,0.86,48.800000000000004
2021-02-18,50.14,51.06,52.23,49.76,276769,1412348800.0,5.04,4.16,2.04,1.33,51.01666666666667
2021-02-19,50.71,53.0,53.03,50.45,271740,1423456736.0,5.05,3.8,1.94,1.3,52.160000000000004
2021-02-22,53.15,52.39,53.63,52.09,187176,988991184.0,2.91,-1.15,-0.61,0.9,52.70333333333334
2021-02-23,52.15,53.51,54.27,52.01,221688,1188208464.0,4.31,2.14,1.12,1.06,53.26333333333333
2021-02-24,53.48,53.16,54.54,52.8,188788,1010721088.0,3.25,-0.65,-0.35,0.91,53.5
2021-02-25,53.61,54.42,55.55,52.58,278264,1515421504.0,5.59,2.37,1.26,1.33,54.18333333333334
2021-02-26,53.68,52.09,54.26,51.88,215633,1137085744.0,4.37,-4.28,-2.33,1.03,52.74333333333334
2021-03-01,52.17,51.86,52.38,50.95,154267,796751920.0,2.75,-0.44,-0.23,0.74,51.73
2021-03-02,51.89,51.7,52.25,51.0,130521,674591184.0,2.41,-0.31,-0.16,0.63,51.65
2021-03-03,51.64,54.98,55.13,51.64,292543,1587938832.0,6.75,6.34,3.28,1.4,53.916666666666664
2021-03-04,54.5,55.47,56.49,54.3,274998,1530997632.0,3.98,0.89,0.49,1.32,55.419999999999995
2021-03-05,55.19,53.33,55.77,52.87,245921,1319580848.0,5.23,-3.86,-2.14,1.18,53.99
2021-03-08,53.41,52.97,54.98,52.74,161494,870699056.0,4.2,-0.68,-0.36,0.77,53.56333333333333
2021-03-09,53.14,52.51,53.89,51.85,174041,916899808.0,3.85,-0.87,-0.46,0.83,52.75
2021-03-10,52.78,50.99,52.97,50.88,152889,792943216.0,3.98,-2.89,-1.52,0.73,51.61333333333334
2021-03-11,50.85,52.02,52.66,50.85,146172,757406304.0,3.55,2.02,1.03,0.7,51.843333333333334
2021-03-12,52.0,51.39,52.02,51.01,107453,551277728.0,1.94,-1.21,-0.63,0.52,51.473333333333336
2021-03-15,51.1,51.63,51.96,50.6,92638,476747792.0,2.65,0.47,0.24,0.44,51.39666666666667
2021-03-16,51.99,52.04,52.48,51.42,118104,614091216.0,2.05,0.79,0.41,0.57,51.98
2021-03-17,51.9,49.9,51.9,49.39,202346,1016554432.0,4.82,-4.11,-2.14,0.97,50.39666666666667
2021-03-18,49.8,49.78,50.48,49.66,111447,557019136.0,1.64,-0.24,-0.12,0.53,49.97333333333333
2021-03-19,49.5,49.03,49.92,48.58,108428,532277568.0,2.69,-1.51,-0.75,0.52,49.17666666666667
2021-03-22,48.69,49.11,49.75,48.64,83281,409097776.0,2.26,0.16,0.08,0.4,49.166666666666664
2021-03-23,49.11,49.14,49.77,48.5,101558,498208720.0,2.59,0.06,0.03,0.49,49.13666666666668
2021-03-24,48.81,48.11,49.02,48.0,102379,495398720.0,2.08,-2.1,-1.03,0.49,48.376666666666665
2021-03-25,48.61,48.75,49.25,48.22,94712,461835136.0,2.14,1.33,0.64,0.45,48.74
2021-03-26,48.96,49.85,50.16,48.88,132491,658032768.0,2.63,2.26,1.1,0.64,49.629999999999995
2021-03-29,49.84,49.62,50.13,49.11,101173,503286960.0,2.05,-0.46,-0.23,0.49,49.620000000000005
2021-03-30,49.61,48.88,49.62,48.6,144446,706116656.0,2.06,-1.49,-0.74,0.69,49.03333333333333
2021-03-31,48.93,48.55,49.25,48.25,81621,396969296.0,2.05,-0.68,-0.33,0.39,48.68333333333334
2021-04-01,48.72,48.88,49.09,48.45,65214,318409568.0,1.32,0.68,0.33,0.31,48.80666666666667
2021-04-02,49.0,48.6,49.0,48.3,95851,465086768.0,1.43,-0.57,-0.28,0.46,48.63333333333333
2021-04-06,48.66,48.71,48.85,48.38,61167,297320208.0,0.97,0.23,0.11,0.29,48.64666666666667
2021-04-07,48.74,48.02,49.0,47.76,127425,614949056.0,2.55,-1.42,-0.69,0.61,48.26
2021-04-08,47.88,48.13,48.48,47.8,76448,368207584.0,1.42,0.23,0.11,0.37,48.13666666666666
2021-04-09,48.04,47.24,48.04,47.08,104841,496157328.0,1.99,-1.85,-0.89,0.5,47.45333333333334
2021-04-12,47.23,46.65,47.29,46.46,86746,406074352.0,1.76,-1.25,-0.59,0.42,46.800000000000004
2021-04-13,46.77,46.72,46.89,46.04,86601,402049632.0,1.82,0.15,0.07,0.42,46.550000000000004
2021-04-14,46.59,46.6,47.02,46.41,81679,380972480.0,1.31,-0.26,-0.12,0.39,46.67666666666667
2021-04-15,46.4,45.51,46.43,44.98,147002,668566624.0,3.11,-2.34,-1.09,0.7,45.63999999999999
2021-04-16,45.74,46.82,46.96,45.52,134135,622836080.0,3.16,2.88,1.31,0.64,46.43333333333334
2021-04-19,46.6,47.41,47.41,46.23,109032,511990800.0,2.52,1.26,0.59,0.52,47.01666666666666
2021-04-20,47.19,47.0,47.68,46.93,77494,365821344.0,1.58,-0.86,-0.41,0.37,47.20333333333334
2021-04-21,46.78,47.3,47.36,46.53,65659,309287264.0,1.77,0.64,0.3,0.31,47.06333333333333
2021-04-22,47.88,47.26,48.34,47.05,95476,454805520.0,2.73,-0.08,-0.04,0.46,47.550000000000004
2021-04-23,47.26,47.15,47.89,46.86,76717,362800384.0,2.18,-0.23,-0.11,0.37,47.300000000000004
2021-04-26,47.1,45.78,47.1,45.76,128361,595337584.0,2.84,-2.91,-1.37,0.62,46.21333333333333
