date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,101.27,103.13,105.68,101.02,39484,406511872.0,4.61,1.92,1.94,0.81,103.27666666666666
2021-01-05,103.13,108.02,108.88,102.6,50353,532776656.0,6.09,4.74,4.89,1.04,106.5
2021-01-06,109.58,105.81,111.8,105.29,54651,584656352.0,6.03,-2.05,-2.21,1.13,107.63333333333333
2021-01-07,108.0,109.54,111.44,106.0,59768,646094096.0,5.14,3.53,3.73,1.23,108.99333333333334
2021-01-08,110.58,109.18,115.77,106.58,70079,783512464.0,8.39,-0.33,-0.36,1.44,110.50999999999999
2021-01-11,109.19,111.25,114.92,107.02,64718,726566000.0,7.24,1.9,2.07,1.33,111.06333333333333
2021-01-12,111.25,113.45,113.99,108.01,47867,534241984.0,5.38,1.98,2.2,0.99,111.81666666666666
2021-01-13,112.99,109.0,113.6,108.01,42472,470142352.0,4.93,-3.92,-4.45,0.87,110.20333333333333
2021-01-14,109.0,107.09,110.77,106.61,27905,301744336.0,3.82,-1.75,-1.91,0.57,108.15666666666668
2021-01-15,106.66,103.71,107.77,101.86,38474,400485760.0,5.52,-3.16,-3.38,0.79,104.44666666666666
2021-01-18,103.25,106.5,107.14,101.85,22683,238859202.0,5.1,2.69,2.79,0.47,105.16333333333334
2021-01-19,106.5,103.5,107.49,103.0,30393,317217280.0,4.22,-2.82,-3.0,0.63,104.66333333333334
2021-01-20,103.6,105.99,106.38,103.6,30115,317069424.0,2.69,2.41,2.49,0.62,105.32333333333332
2021-01-21,106.77,106.35,108.78,105.5,26952,288489632.0,3.09,0.34,0.36,0.56,106.87666666666667
2021-01-22,106.38,108.0,108.43,103.05,39439,417498944.0,5.06,1.55,1.65,0.81,106.49333333333334
2021-01-25,108.0,118.8,118.8,107.2,39855,457950704.0,10.74,10.0,10.8,0.82,114.93333333333334
2021-01-26,121.0,119.3,123.75,117.89,60719,729035760.0,4.93,0.42,0.5,1.25,120.31333333333333
2021-01-27,119.99,121.28,124.2,119.0,47637,578990704.0,4.36,1.66,1.98,0.98,121.49333333333334
2021-01-28,119.91,117.7,122.5,117.21,32230,385706400.0,4.36,-2.95,-3.58,0.66,119.13666666666666
2021-01-29,118.99,116.2,121.21,113.68,33836,397136976.0,6.4,-1.27,-1.5,0.7,117.02999999999999
2021-02-01,118.0,120.44,121.0,116.3,33441,398658160.0,4.04,3.65,4.24,0.69,119.24666666666667
2021-02-02,120.85,124.6,125.26,120.52,45132,557321760.0,3.94,3.45,4.16,0.93,123.46
2021-02-03,125.0,122.82,125.76,122.18,26155,324418080.0,2.87,-1.43,-1.78,0.54,123.58666666666666
2021-02-04,121.52,120.49,124.45,120.1,30142,367909696.0,3.54,-1.9,-2.33,0.62,121.68
2021-02-05,123.0,118.0,123.3,117.81,25559,305058960.0,4.56,-2.07,-2.49,0.53,119.70333333333333
2021-02-08,119.69,126.4,126.8,118.02,33690,415999088.0,7.44,7.12,8.4,0.69,123.74000000000001
2021-02-09,125.92,133.88,137.97,125.12,43168,572477760.0,10.17,5.92,7.48,0.89,132.32333333333335
2021-02-10,137.36,136.01,138.31,131.31,31669,428732256.0,5.23,1.59,2.13,0.65,135.21
2021-02-18,139.91,136.0,140.3,135.81,30169,413286848.0,3.3,-0.01,-0.01,0.62,137.37
2021-02-19,136.71,134.93,136.75,130.37,26851,357878928.0,4.69,-0.79,-1.07,0.55,134.01666666666668
2021-02-22,133.8,124.2,133.8,123.0,41283,521356928.0,8.0,-7.95,-10.73,0.85,127.0
2021-02-23,123.4,125.47,130.18,122.85,26596,334903152.0,5.9,1.02,1.27,0.55,126.16666666666667
2021-02-24,124.8,120.3,126.0,118.01,25644,311005584.0,6.37,-4.12,-5.17,0.53,121.43666666666667
2021-02-25,121.72,116.53,121.85,115.17,23305,273479808.0,5.55,-3.13,-3.77,0.48,117.84999999999998
2021-02-26,113.58,114.82,120.0,113.1,27458,319530272.0,5.92,-1.47,-1.71,0.57,115.97333333333331
2021-03-01,116.0,117.41,118.8,112.61,17150,199753761.0,5.39,2.26,2.59,0.35,116.27333333333333
2021-03-02,117.41,117.42,120.2,116.0,24875,293777984.0,3.58,0.01,0.01,0.51,117.87333333333333
2021-03-03,116.8,114.84,118.0,114.41,17261,199308367.0,3.06,-2.2,-2.58,0.36,115.75
2021-03-04,114.45,103.37,114.45,103.36,57738,612314464.0,9.66,-9.99,-11.47,1.19,107.06
2021-03-05,102.44,93.03,102.44,93.03,91099,859863696.0,9.1,-10.0,-10.34,1.88,96.16666666666667
2021-03-08,92.97,87.95,93.77,86.8,72888,660441536.0,7.49,-5.46,-5.08,1.5,89.50666666666666
2021-03-09,87.07,85.07,89.44,83.0,58927,508942096.0,7.32,-3.27,-2.88,1.21,85.83666666666666
2021-03-10,87.55,88.0,91.4,87.0,44012,389661952.0,5.17,3.44,2.93,0.91,88.8
2021-03-11,88.0,93.22,93.8,87.58,35517,326915328.0,7.07,5.93,5.22,0.73,91.53333333333335
2021-03-12,95.31,96.73,97.38,93.93,37623,359896928.0,3.7,3.77,3.51,0.77,96.01333333333334
2021-03-15,95.27,92.82,96.0,91.79,34285,320862192.0,4.35,-4.04,-3.91,0.71,93.53666666666668
2021-03-16,92.92,91.99,94.61,90.71,21873,201481580.0,4.2,-0.89,-0.83,0.45,92.43666666666667
2021-03-17,92.09,94.7,95.66,90.58,17299,162589794.0,5.52,2.95,2.71,0.36,93.64666666666666
2021-03-18,94.77,99.2,100.55,94.77,28870,284456688.0,6.1,4.75,4.5,0.59,98.17333333333333
2021-03-19,99.0,98.3,102.27,96.0,30843,305955872.0,6.32,-0.91,-0.9,0.64,98.85666666666667
2021-03-22,99.0,95.4,101.01,94.96,31443,303984224.0,6.15,-2.95,-2.9,0.65,97.12333333333333
2021-03-23,95.02,94.82,96.2,93.08,41085,388943440.0,3.27,-0.61,-0.58,0.85,94.7
2021-03-24,94.82,93.15,96.98,92.6,25166,237845457.0,4.62,-1.76,-1.67,0.52,94.24333333333334
2021-03-25,91.7,95.49,96.0,91.5,19842,187997357.0,4.83,2.51,2.34,0.41,94.33
2021-03-26,96.4,97.08,97.88,93.92,22304,214784257.0,4.15,1.67,1.59,0.46,96.29333333333334
2021-03-29,97.22,98.45,99.3,96.77,27294,267515446.0,2.61,1.41,1.37,0.56,98.17333333333333
2021-03-30,97.94,98.84,100.16,97.8,21353,211063934.0,2.4,0.4,0.39,0.44,98.93333333333332
2021-03-31,99.8,96.3,99.88,94.3,26325,252231081.0,5.65,-2.57,-2.54,0.54,96.82666666666667
2021-04-01,96.0,95.74,97.0,94.4,18620,177678974.0,2.7,-0.58,-0.56,0.38,95.71333333333332
2021-04-02,95.74,96.29,96.78,94.59,14716,141090375.0,2.29,0.57,0.55,0.3,95.88666666666667
2021-04-06,96.04,95.35,97.19,93.0,25867,243930486.0,4.35,-0.98,-0.94,0.53,95.17999999999999
2021-04-07,95.32,91.9,95.89,91.85,26007,240937256.0,4.24,-3.62,-3.45,0.54,93.21333333333332
2021-04-08,92.15,91.97,93.41,91.18,22752,208659212.0,2.43,0.08,0.07,0.47,92.18666666666667
2021-04-09,91.5,90.12,92.5,89.29,16828,152614862.0,3.49,-2.01,-1.85,0.35,90.63666666666667
2021-04-12,90.0,87.85,90.9,86.99,33167,293445520.0,4.34,-2.52,-2.27,0.68,88.58
2021-04-13,87.8,88.11,89.8,86.4,20821,183698120.0,3.87,0.3,0.26,0.43,88.10333333333334
2021-04-14,87.63,87.06,88.69,86.01,26272,228690238.0,3.04,-1.19,-1.05,0.54,87.25333333333333
2021-04-15,87.3,87.37,87.57,85.55,20766,180133568.0,2.32,0.36,0.31,0.43,86.83
2021-04-16,87.37,87.28,87.98,85.06,25452,219974764.0,3.34,-0.1,-0.09,0.52,86.77333333333335
2021-04-19,87.0,90.22,91.17,86.56,26135,234922571.0,5.28,3.37,2.94,0.54,89.31666666666668
2021-04-20,90.3,89.34,91.32,88.68,25278,227771306.0,2.93,-0.98,-0.88,0.52,89.78000000000002
2021-04-21,89.02,87.22,89.86,86.99,23860,209317681.0,3.21,-2.37,-2.12,0.49,88.02333333333333
2021-04-22,87.5,87.0,88.49,85.68,29260,252838828.0,3.22,-0.25,-0.22,0.6,87.05666666666667
2021-04-23,87.0,88.62,88.79,86.54,22017,193714505.0,2.59,1.86,1.62,0.45,87.98333333333335
2021-04-26,89.96,88.42,90.45,88.03,21987,195776633.0,2.73,-0.23,-0.2,0.45,88.96666666666668
2021-04-27,87.2,90.05,90.16,87.06,20345,182069765.0,3.51,1.84,1.63,0.42,89.08999999999999
2021-04-28,89.92,90.6,91.96,89.2,22223,201226923.0,3.06,0.61,0.55,0.46,90.58666666666666
2021-04-29,81.54,81.54,81.54,81.54,13003,106026462.0,0.0,-10.0,-9.06,0.27,81.54
2021-04-30,76.0,73.39,77.47,73.39,131949,972203744.0,5.0,-10.0,-8.15,2.72,74.75
2021-05-06,72.98,73.5,74.9,71.39,62889,463166128.0,4.78,0.15,0.11,1.3,73.26333333333334
2021-05-07,74.04,71.2,74.86,70.51,44267,320959168.0,5.92,-3.13,-2.3,0.91,72.19
2021-05-10,70.7,69.02,71.29,68.2,54758,379890880.0,4.34,-3.06,-2.18,1.13,69.50333333333333
2021-05-11,68.16,67.7,69.0,66.26,68970,464158224.0,3.97,-1.91,-1.32,1.42,67.65333333333332
2021-05-12,67.5,65.39,68.58,63.88,62026,404727040.0,6.94,-3.41,-2.31,1.28,65.95
2021-05-13,65.59,63.41,65.59,62.84,56252,357291088.0,4.21,-3.03,-1.98,1.16,63.946666666666665
2021-05-14,63.4,65.15,65.4,63.1,48104,310298176.0,3.63,2.74,1.74,0.99,64.55
2021-05-17,65.15,65.0,67.85,64.95,66283,438111968.0,4.45,-0.23,-0.15,1.37,65.93333333333334
2021-05-18,64.0,65.1,65.78,63.89,30088,195308414.0,2.91,0.15,0.1,0.62,64.92333333333333
2021-05-19,65.2,64.95,65.5,64.28,19667,127590763.0,1.87,-0.23,-0.15,0.41,64.91000000000001
2021-05-20,65.66,66.88,69.13,65.55,68478,459633136.0,5.51,2.97,1.93,1.41,67.18666666666667
2021-05-21,67.3,64.52,68.3,64.51,61451,401384496.0,5.67,-3.53,-2.36,1.27,65.77666666666666
2021-05-24,64.63,65.0,65.79,62.26,50383,322985440.0,5.47,0.74,0.48,1.04,64.35000000000001
2021-05-25,65.11,65.11,65.47,64.06,39617,256962193.0,2.17,0.17,0.11,0.82,64.88
2021-05-26,65.21,65.68,66.13,64.63,34246,224081938.0,2.3,0.88,0.57,0.71,65.48
2021-05-27,66.15,66.64,67.12,65.1,33278,220946448.0,3.08,1.46,0.96,0.69,66.28666666666668
2021-05-28,67.5,65.17,67.6,64.7,41320,272158112.0,4.35,-2.21,-1.47,0.85,65.82333333333334
2021-05-31,65.1,64.62,65.69,63.58,59160,380236240.0,3.24,-0.84,-0.55,1.22,64.63
2021-06-01,65.27,63.29,65.3,62.88,69033,438417360.0,3.74,-2.06,-1.33,1.42,63.82333333333333
2021-06-02,63.0,63.48,64.13,62.9,39378,250871601.0,1.94,0.3,0.19,0.81,63.50333333333333
2021-06-03,63.48,62.58,64.18,62.34,35320,222834730.0,2.9,-1.42,-0.9,0.73,63.03333333333334
2021-06-04,62.42,62.42,63.14,61.8,30124,188384551.0,2.14,-0.26,-0.16,0.62,62.45333333333334
2021-06-07,61.92,62.75,63.02,61.06,50663,313388800.0,3.14,0.53,0.33,1.04,62.27666666666667
