date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,8.69,8.75,8.87,8.54,1312501,1143678496.0,3.8,0.81,0.07,1.96,8.719999999999999
2021-01-05,8.66,8.76,8.88,8.56,1357887,1185033360.0,3.66,0.11,0.01,2.03,8.733333333333334
2021-01-06,8.79,8.69,8.92,8.58,1120875,977951472.0,3.88,-0.8,-0.07,1.67,8.729999999999999
2021-01-07,8.78,8.99,9.36,8.75,2607684,2352544128.0,7.02,3.45,0.3,3.89,9.033333333333333
2021-01-08,8.85,8.7,8.96,8.68,1475972,1295032720.0,3.11,-3.23,-0.29,2.2,8.78
2021-01-11,8.71,8.53,8.78,8.53,1049988,910324720.0,2.87,-1.95,-0.17,1.57,8.613333333333332
2021-01-12,8.5,9.11,9.24,8.45,2236270,1986754032.0,9.26,6.8,0.58,3.34,8.933333333333332
2021-01-13,9.02,9.02,9.24,8.92,1795868,1626973600.0,3.51,-0.99,-0.09,2.68,9.06
2021-01-14,8.96,8.73,8.99,8.7,1326462,1166047856.0,3.22,-3.22,-0.29,1.98,8.806666666666667
2021-01-15,8.76,8.74,8.9,8.68,895088,784968112.0,2.52,0.11,0.01,1.34,8.773333333333333
2021-01-18,8.71,8.8,8.95,8.67,861762,760031280.0,3.2,0.69,0.06,1.29,8.806666666666667
2021-01-19,8.8,8.74,8.97,8.68,911373,801470512.0,3.3,-0.68,-0.06,1.36,8.796666666666667
2021-01-20,8.74,8.67,8.8,8.62,679781,591560176.0,2.06,-0.8,-0.07,1.02,8.696666666666667
2021-01-21,8.69,8.9,9.14,8.63,1664218,1482956608.0,5.88,2.65,0.23,2.49,8.89
2021-01-22,8.85,8.87,9.21,8.81,1609517,1445199072.0,4.49,-0.34,-0.03,2.4,8.963333333333333
2021-01-25,8.91,9.26,9.69,8.91,3293813,3075888656.0,8.79,4.4,0.39,4.92,9.286666666666667
2021-01-26,9.13,8.63,9.18,8.62,2124699,1885171760.0,6.05,-6.8,-0.63,3.17,8.81
2021-01-27,8.61,8.4,8.7,8.39,1243769,1060842208.0,3.59,-2.67,-0.23,1.86,8.496666666666668
2021-01-28,8.26,8.33,8.43,8.17,1052869,872994800.0,3.1,-0.83,-0.07,1.57,8.31
2021-01-29,8.39,8.25,8.41,8.1,807268,666095056.0,3.72,-0.96,-0.08,1.21,8.253333333333332
2021-02-01,8.38,8.44,8.68,8.33,1557094,1326961552.0,4.24,2.3,0.19,2.33,8.483333333333333
2021-02-02,8.35,8.5,8.56,8.33,975570,821997376.0,2.73,0.71,0.06,1.46,8.463333333333333
2021-02-03,8.5,8.37,8.57,8.36,683637,577835168.0,2.47,-1.53,-0.13,1.02,8.433333333333332
2021-02-04,8.3,8.19,8.37,8.08,774158,635174032.0,3.46,-2.15,-0.18,1.16,8.213333333333333
2021-02-05,8.23,8.11,8.27,8.09,564542,462163248.0,2.2,-0.98,-0.08,0.84,8.156666666666666
