date,open,close,high,low,volume,amount,amplitude,pct_chg,rfs,change,pivot
2021-01-04,98.9,99.01,101.95,98.03,338827,3379358336.0,3.98,0.58,0.57,0.49,99.66333333333334
2021-01-05,98.07,101.54,101.94,97.0,351148,3515823440.0,4.99,2.56,2.53,0.51,100.16000000000001
2021-01-06,103.0,100.96,104.8,99.65,360203,3662399232.0,5.07,-0.57,-0.58,0.52,101.80333333333333
2021-01-07,102.0,104.82,105.67,101.2,451401,4687111424.0,4.43,3.82,3.86,0.66,103.89666666666666
2021-01-08,104.0,103.01,104.7,101.25,330690,3409516336.0,3.29,-1.73,-1.81,0.48,102.98666666666666
2021-01-11,103.2,101.0,104.33,100.0,341892,3506431344.0,4.2,-1.95,-2.01,0.5,101.77666666666666
2021-01-12,100.31,104.1,104.28,100.31,355296,3670971680.0,3.93,3.07,3.1,0.52,102.89666666666666
2021-01-13,105.0,103.34,105.71,102.04,343487,3560584736.0,3.53,-0.73,-0.76,0.5,103.69666666666667
2021-01-14,103.6,99.6,104.39,99.39,373815,3780641248.0,4.84,-3.62,-3.74,0.54,101.12666666666667
2021-01-15,99.03,99.69,100.17,96.78,357438,3524028272.0,3.4,0.09,0.09,0.52,98.88
2021-01-18,99.39,99.12,100.28,97.51,286772,2849767536.0,2.78,-0.57,-0.57,0.42,98.97000000000001
2021-01-19,99.69,94.85,100.11,94.48,423078,4087923632.0,5.68,-4.31,-4.27,0.62,96.48
2021-01-20,96.0,96.28,98.12,95.5,322023,3113133920.0,2.76,1.51,1.43,0.47,96.63333333333333
2021-01-21,97.24,100.1,101.0,96.99,409302,4074982800.0,4.16,3.97,3.82,0.6,99.36333333333334
2021-01-22,100.0,100.57,101.53,98.09,307756,3069095088.0,3.44,0.47,0.47,0.45,100.06333333333333
2021-01-25,101.0,101.98,102.87,98.7,377360,3802697808.0,4.15,1.4,1.41,0.55,101.18333333333334
2021-01-26,101.0,97.94,101.0,97.1,407670,4006657952.0,3.82,-3.96,-4.04,0.59,98.67999999999999
2021-01-27,97.09,97.95,99.84,96.38,283269,2781047168.0,3.53,0.01,0.01,0.41,98.05666666666667
2021-01-28,96.53,95.16,96.99,94.5,310572,2959282880.0,2.54,-2.85,-2.79,0.45,95.55
2021-01-29,95.35,96.33,97.79,93.68,372465,3576339184.0,4.32,1.23,1.17,0.54,95.93333333333334
2021-02-01,96.33,98.2,98.51,94.66,286063,2784442672.0,4.0,1.94,1.87,0.42,97.12333333333333
2021-02-02,97.4,98.58,100.2,97.4,315444,3125263984.0,2.85,0.39,0.38,0.46,98.72666666666667
2021-02-03,99.5,97.64,100.4,96.2,323955,3178416768.0,4.26,-0.95,-0.94,0.47,98.08
2021-02-04,96.29,96.4,97.59,95.23,364864,3514921392.0,2.42,-1.27,-1.24,0.53,96.40666666666668
2021-02-05,96.98,97.25,98.37,95.0,372624,3600456016.0,3.5,0.88,0.85,0.54,96.87333333333333
2021-02-08,97.26,96.66,97.5,94.4,377436,3614401920.0,3.19,-0.61,-0.59,0.55,96.18666666666667
2021-02-09,97.59,101.9,101.9,96.89,537122,5347054592.0,5.18,5.42,5.24,0.78,100.23000000000002
2021-02-10,102.92,107.11,108.0,101.5,536799,5641813760.0,6.38,5.11,5.21,0.78,105.53666666666668
2021-02-18,107.12,98.3,107.36,97.0,940429,9433652480.0,9.67,-8.23,-8.81,1.37,100.88666666666667
2021-02-19,95.01,97.99,98.33,95.01,693877,6722204928.0,3.38,-0.32,-0.31,1.01,97.11
2021-02-22,97.28,90.44,97.28,90.38,903986,8324148736.0,7.04,-7.7,-7.55,1.32,92.7
2021-02-23,89.05,90.94,92.0,88.83,604755,5494666752.0,3.51,0.55,0.5,0.88,90.58999999999999
2021-02-24,96.1,95.02,98.6,93.12,1003546,9587929088.0,6.03,4.49,4.08,1.46,95.58
2021-02-25,94.9,93.94,95.79,92.1,416370,3934052800.0,3.88,-1.14,-1.08,0.61,93.94333333333333
2021-02-26,92.0,93.08,94.49,91.02,601123,5569084672.0,3.69,-0.92,-0.86,0.87,92.86333333333333
2021-03-01,93.4,93.33,95.3,91.83,370844,3475175712.0,3.73,0.27,0.25,0.54,93.48666666666666
2021-03-02,94.87,93.52,95.84,92.7,473398,4469317376.0,3.36,0.2,0.19,0.69,94.02
2021-03-03,92.73,93.49,93.72,91.5,330592,3072269136.0,2.37,-0.03,-0.03,0.48,92.90333333333332
2021-03-04,92.22,89.9,92.58,89.44,446348,4041856224.0,3.36,-3.84,-3.59,0.65,90.63999999999999
2021-03-05,87.57,89.5,90.27,86.03,409487,3626107488.0,4.72,-0.44,-0.4,0.6,88.60000000000001
2021-03-08,88.5,85.5,89.71,85.44,488293,4260904992.0,4.77,-4.47,-4.0,0.71,86.88333333333333
2021-03-09,84.65,81.99,84.9,81.7,568963,4741767424.0,3.74,-4.11,-3.51,0.83,82.86333333333334
2021-03-10,84.0,83.66,84.66,82.05,473168,3942944032.0,3.18,2.04,1.67,0.69,83.45666666666666
2021-03-11,84.58,85.95,86.5,83.5,408116,3495579072.0,3.59,2.74,2.29,0.59,85.31666666666666
2021-03-12,85.97,85.96,88.03,85.21,323645,2806048368.0,3.28,0.01,0.01,0.47,86.39999999999999
2021-03-15,84.81,82.3,84.84,81.0,490514,4035896112.0,4.47,-4.26,-3.66,0.71,82.71333333333332
2021-03-16,82.41,82.58,83.03,81.55,349261,2877253728.0,1.8,0.34,0.28,0.51,82.38666666666666
2021-03-17,82.01,84.07,84.28,81.36,370952,3081574544.0,3.54,1.8,1.49,0.54,83.23666666666666
2021-03-18,84.98,86.71,87.0,84.8,347036,2986372288.0,2.62,3.14,2.64,0.5,86.17
2021-03-19,85.0,85.31,86.6,84.39,305292,2610073936.0,2.55,-1.61,-1.4,0.44,85.43333333333334
2021-03-22,84.99,83.38,85.53,82.3,314093,2620969360.0,3.79,-2.26,-1.93,0.46,83.73666666666666
2021-03-23,83.38,81.47,83.44,81.07,369696,3027477696.0,2.84,-2.29,-1.91,0.54,81.99333333333333
2021-03-24,81.5,81.68,82.48,81.26,235368,1923709264.0,1.5,0.26,0.21,0.34,81.80666666666667
2021-03-25,81.07,80.68,81.5,79.3,247525,1990607888.0,2.69,-1.22,-1.0,0.36,80.49333333333334
2021-03-26,81.1,82.01,82.5,79.96,310830,2533340704.0,3.15,1.65,1.33,0.45,81.49
2021-03-29,81.96,81.47,82.47,81.0,294535,2406536464.0,1.79,-0.66,-0.54,0.43,81.64666666666666
2021-03-30,81.86,82.47,83.49,81.11,351972,2898062096.0,2.92,1.23,1.0,0.51,82.35666666666667
2021-03-31,82.8,82.23,82.98,81.25,273525,2245618464.0,2.1,-0.29,-0.24,0.4,82.15333333333335
2021-04-01,82.0,85.43,85.88,81.8,352045,2987621056.0,4.96,3.89,3.2,0.51,84.37
2021-04-02,85.5,87.11,88.5,84.9,291525,2546245040.0,4.21,1.97,1.68,0.42,86.83666666666666
2021-04-06,87.16,84.38,87.7,84.0,257668,2190978640.0,4.25,-3.13,-2.73,0.37,85.36
2021-04-07,84.38,82.72,84.49,81.88,299775,2467818336.0,3.09,-1.97,-1.66,0.44,83.03
2021-04-08,82.51,82.68,82.92,81.95,182114,1502128960.0,1.17,-0.05,-0.04,0.26,82.51666666666667
2021-04-09,82.98,80.45,82.98,80.24,322386,2610503424.0,3.31,-2.7,-2.23,0.47,81.22333333333334
2021-04-12,80.3,79.3,81.26,79.0,252775,2012933376.0,2.81,-1.43,-1.15,0.37,79.85333333333334
2021-04-13,78.95,78.69,79.82,78.12,213628,1686748576.0,2.14,-0.77,-0.61,0.31,78.87666666666667
2021-04-14,78.97,80.13,80.63,78.89,210692,1685738016.0,2.21,1.83,1.44,0.31,79.88333333333333
2021-04-15,80.13,80.28,81.0,78.96,174453,1393503616.0,2.55,0.19,0.15,0.25,80.08
2021-04-16,80.3,79.9,80.6,78.9,153478,1222574464.0,2.12,-0.47,-0.38,0.22,79.8
2021-04-19,80.0,81.67,82.11,79.0,267594,2175802608.0,3.89,2.22,1.77,0.39,80.92666666666668
2021-04-20,81.08,80.98,81.5,80.03,231534,1866628048.0,1.8,-0.84,-0.69,0.34,80.83666666666666
2021-04-21,80.0,79.6,80.5,79.5,251906,2010416384.0,1.23,-1.7,-1.38,0.37,79.86666666666666
2021-04-22,79.62,80.25,80.29,79.01,230969,1841507584.0,1.61,0.82,0.65,0.34,79.85000000000001
2021-04-23,80.42,83.86,84.0,80.26,451416,3741273488.0,4.66,4.5,3.61,0.66,82.70666666666666
2021-04-26,84.24,80.03,85.0,79.91,418029,3424838080.0,6.07,-4.57,-3.83,0.61,81.64666666666666
2021-04-27,79.97,80.72,81.63,79.2,190001,1531692784.0,3.04,0.86,0.69,0.28,80.51666666666667
2021-04-28,81.0,81.55,81.7,80.08,179026,1452688944.0,2.01,1.03,0.83,0.26,81.11
2021-04-29,82.06,83.43,84.25,81.87,298160,2474034000.0,2.92,2.31,1.88,0.43,83.18333333333334
2021-04-30,84.7,80.17,84.7,79.8,582377,4702118144.0,5.87,-3.91,-3.26,0.85,81.55666666666667
2021-05-06,78.31,77.56,79.77,77.49,491159,3841342544.0,2.84,-3.26,-2.61,0.71,78.27333333333333
2021-05-07,77.4,75.08,77.55,75.0,437295,3308412784.0,3.29,-3.2,-2.48,0.64,75.87666666666667
2021-05-10,75.83,78.0,79.2,75.83,549440,4265793296.0,4.49,3.89,2.92,0.8,77.67666666666666
2021-05-11,77.16,78.34,79.0,76.59,273335,2127125360.0,3.09,0.44,0.34,0.4,77.97666666666667
2021-05-12,78.9,77.27,78.9,76.45,273410,2106351408.0,3.13,-1.37,-1.07,0.4,77.54
2021-05-13,76.12,75.15,76.5,75.0,329508,2482149424.0,1.94,-2.74,-2.12,0.48,75.55
2021-05-14,75.3,76.44,76.57,73.62,304811,2297770128.0,3.93,1.72,1.29,0.44,75.54333333333334
2021-05-17,77.0,78.4,79.35,76.88,418092,3276114960.0,3.23,2.56,1.96,0.61,78.21
2021-05-18,79.8,77.84,80.0,77.2,268555,2106345392.0,3.57,-0.71,-0.56,0.39,78.34666666666666
